1,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
M_1,STEAP1,STEAP2,STEAP3,STEAP4,STEAP1B,FRRS1,CYBRD1
M_2,TF,TFRC,TFR2
M_3,SLC11A2,SLC39A14
M_4,STEAP1,STEAP2,STEAP3,STEAP4,STEAP5
M_5,FLVCR2,UNC119,SLC46A1,HPX
M_6,SLC48A1,POR
M_7,FTL,FTH1
M_8,SLC40A1
M_9,SLC25A37
M_10,HNF1A,FECH,UROD,HMBS,UROS,ALAS1,ALAD,ALAS2,TSPO,CPOX,SLC11A2,PPOX,COX10,NFE2L1,FXN,IBA57,COX15,SLC25A38,SLC25A39,TMEM14C,ATPIF1
M_11,FLVCR1,ABCB7,ABCB6,ABCG2
M_12,NDUFS7,TYW1,TYW1B,FDX1L,ISCU,NDUFS1,ELP3,RSAD2,NFU1,ABCE1,NDUFS8,CIAPIN1,GLRX3,RPS3,NUBP1,ABAT,FXN,ISCA2,ISCA1,NARFL,NARF,NFS1
M_13,SOD1,SOD2,SOD3,GPX1,GPX2,GPX3,GPX4,GPX5
M_14,ANAPC11,BRCA1,CDC20,CDC34,POMP,PRPF19,PSMA1,PSMA2,PSMA3,PSMA4,PSMA5,PSMA6,PSMA7,PSMB1,PSMB2,PSMB3,PSMB4,PSMB5,PSMB7,PSMC1,PSMC3,PSMC4,PSMC5,PSMC6,PSMD13,PSMD14,PSMD3,PSMD4,PSMD8,PSME2,RNF7,SHFM1,TCEB1,TCEB2,UBE2C,UBE2J2,UBE2M,UBE2S,CPSF3,CPSF4,DAZAP1,ENO1,EXOSC1,EXOSC2,EXOSC4,EXOSC5,EXOSC7,EXOSC8,EXOSC9,LSM2,LSM4,LSM5,LSM7,MAGOHB,MAGOH,NAA38,NCBP1,NXT1,PABPN1,PNPT1,PPP1CA,PPP2R3B,RNPS1,THOC4,WIBG
M_15,FTL,FTH1
